Rank,Address,Name Tag,Balance,Percentage,Txn Count
132,0x5657e633be5912c6bab132315609b51aadd01f95,,"101,051.80639112 Ether",0.08430880%,7
133,0x67f706db3bbd04a250eed049386c5d09c4ee31f0,,"100,784.24721512 Ether",0.08408557%,34
134,0xfc91c862dbed337369015f5b244bee027fb135e4,,"100,695.90365484 Ether",0.08401187%,130
135,0x4fdd5eb2fb260149a3903859043e962ab89d8ed4,Bitfinex 5,"100,116.86592345 Ether",0.08352877%,23
136,0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,Bitfinex: MultiSig 3,"100,019.76046368 Ether",0.08344775%,110
137,0x40f50e8352d64af0ddda6ad6c94b5774884687c3,,"100,000.00002 Ether",0.08343126%,3
138,0x2d89034424db22c9c555f14692a181b22b17e42c,,"100,000.00001 Ether",0.08343126%,3
139,0x469f1ea76d13d4b4ea20a233eac8ce6ac74d5087,,"100,000 Ether",0.08343126%,3
140,0x539c92186f7c6cc4cbf443f26ef84c595babbca1,,"100,000 Ether",0.08343126%,1
141,0xbfbbfaccd1126a11b8f84c60b09859f80f3bd10f,,"100,000 Ether",0.08343126%,1
142,0x868dab0b8e21ec0a48b726a1ccf25826c78c6d7f,,"100,000 Ether",0.08343126%,1
143,0x999e77c988c4c1451d3b1c104a6cca7813a9946e,,"99,272.34836012 Ether",0.08282418%,55
144,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,Kraken 4,"99,247.9205399 Ether",0.08280379%,2687035
145,0xef381e3e29f7441bce624b9c69e3d678f1c51359,,"98,392.95402644 Ether",0.08209049%,18
146,0x2fd56159f4c8664a1de5c75e430338cfa58cd5b9,,"98,134.84097476 Ether",0.08187514%,52
147,0x28140cb1ac771d4add91ee23788e50249c10263d,Bitfinex 16,"97,634.063475 Ether",0.08145733%,1
148,0xf774da4418c6dca3051f0e7570829b24214e730b,,"96,693.73632631 Ether",0.08067281%,153
149,0x1e2fcfd26d36183f1a5d90f0e6296915b02bcb40,Coinone 2,"95,993.89170392 Ether",0.08008892%,70
150,0xc56fefd1028b0534bfadcdb580d3519b5586246e,Bitfinex 11,"95,263.26323519 Ether",0.07947934%,1
151,0x11577a8a5baf1e25b9a2d89f39670f447d75c3cd,Fund: 0x115...3cD,"94,954.60140255 Ether",0.07922182%,174
152,0x629e7da20197a5429d30da36e77d06cdf796b71a,Wormhole Network Exploiter,"93,750.62308981 Ether",0.07821733%,123
153,0x86a6a0080b1a4c9390416cf73ffb02738d94f8d6,,"93,032.0962768 Ether",0.07761785%,4
154,0x0dbd8de20eed94a5693d57998827fcf68ed2ecf4,,"92,500.11439622 Ether",0.07717401%,3
155,0x2d1566722288be5525b548a642c98b546f116aa0,,"89,482.38213185 Ether",0.07465628%,120
156,0x756d64dc5edb56740fc617628dc832ddbcfd373c,,"88,214.35953663 Ether",0.07359836%,134
157,0x3ac82b914a04ac1670ee9a587042d612107e3f83,,"86,574.71182062 Ether",0.07223038%,8
158,0xbf4ed7b27f1d666546e30d74d50d173d20bca754,WithdrawDAO,"86,503.33430844 Ether",0.07217083%,19524
159,0xe4f4866437513e7e023fb3933ba43045312b7459,,"86,484.61667426 Ether",0.07215521%,8
160,0x1bb762b16438f8b287626fd1042bc6f6848cc286,,"86,481.01573915 Ether",0.07215220%,1
161,0x6586ce3d543e0c57b347f0c3b9eeed2f132c104f,,"84,999.995411 Ether",0.07091657%,4
162,0x084ef8564b4f75a70b7ad5e8aabf73edac005397,,"84,581.8142222 Ether",0.07056768%,116
163,0x19184ab45c40c2920b0e0e31413b9434abd243ed,,"84,556.95704405 Ether",0.07054694%,311
164,0xcac9c634b4464efe71a9a5910edba06686baf457,,"84,043.83813318 Ether",0.07011884%,117
165,0xb3764761e297d6f121e79c32a65829cd1ddb4d32,Multisig Exploit Hacker,"83,017.20927198 Ether",0.06926231%,65
166,0x3bc643a841915a267ee067b580bd802a66001c1d,,"82,515.54985063 Ether",0.06884377%,317
167,0x47029dc4f3922706bf670d335c45550cff4f6a35,,"81,859.53200103 Ether",0.06829644%,19
168,0xb46427e2cddecb0bde40bf402361effddd4401e2,,"81,444.25824274 Ether",0.06794997%,3
169,0x37e3bc492735d3d84f2b126cffaf4f0a95bff049,,"80,645.65767698 Ether",0.06728369%,15
170,0x1085b9c6e43895cc441ba1840b940ef786683785,,"80,000.13895 Ether",0.06674513%,4
171,0x677f887fae0873bcf7e800f77bc7643063c7dece,,"80,000.13895 Ether",0.06674513%,4
172,0x28973c01a23a002e8c40dc123858fd2122e50f87,,"80,000.13895 Ether",0.06674513%,4
173,0x583197dccce7e295525acfa016eabe1b25becbc6,,"80,000.13895 Ether",0.06674513%,4
174,0x46fde20dfde85c8c169e8823b6f615146674103e,,"80,000.13895 Ether",0.06674513%,4
175,0x7d783603bd1caed3cdb8e734a50fb35df1f1da7a,,"80,000.13895 Ether",0.06674513%,4
176,0x58c1655ee5c109bf69715411dc32338e40a54c46,,"80,000.12895 Ether",0.06674512%,4
177,0x385dc986ac6dfaefe851ac95d3650e0baafef3ac,,"80,000.12895 Ether",0.06674512%,4
178,0x67586e3526bbe9f3e19d76bb41f1de0a774b50b4,,"80,000.12895 Ether",0.06674512%,4
179,0xc39cc669a548c661dfa6b5a1eeaa389d1ec53143,,"80,000.0003811 Ether",0.06674501%,8
180,0x918fa381cb534677bad24afb29cb3c2acaf16385,,"79,340.38161726 Ether",0.06619468%,2
181,0xd2b0b1daed605718080f861034d3241f1cfd89cb,,"79,122.43020715 Ether",0.06601284%,1
182,0x382b1bf6229d36d8f24d6c7ead909f50b7c8d48d,,"78,967.57787165 Ether",0.06588365%,31
183,0xfdfeb7474b6b104f32599948bb7f8ed81b06def3,,"77,735.85085577 Ether",0.06485600%,2
184,0xcfee6efec3471874022e205f4894733c42cbbf64,,"77,500 Ether",0.06465923%,10
185,0xa463597d49f54fe6a811fb894cbd67c7f92852b0,,"76,779.44256847 Ether",0.06405806%,63
186,0xfcd159d0fef5b1003e10d91a5b79d52bbb8cd05d,,"76,779.44256847 Ether",0.06405806%,65
187,0x6e414cfad874d8ee716ea0299d40011207c907b8,,"76,779.44256847 Ether",0.06405806%,72
188,0x19bf56fca395a600c20f732b05757f30ad24a719,,"76,779.44256847 Ether",0.06405806%,67
189,0x04b7f4195595d8132dd8249cc8dc7e79a6ae772b,,"76,779.44256847 Ether",0.06405806%,62
190,0xff2ac8c5834a7585fcc97edb8ba2431c4beab487,,"76,779.44256847 Ether",0.06405806%,59
191,0x4ed97d6470f5121a8e02498ea37a50987da0eec0,,"76,779.44256847 Ether",0.06405806%,97
192,0xca0a044400c1fa857e4cd0c95d86376b85659303,,"76,630.72347572 Ether",0.06393398%,1977
193,0x2268f45acb887e0a4e9c8714798fa7892629e91f,,"75,759.83100133 Ether",0.06320738%,7
194,0x8033539e873b3f0deaba706dd6d3480e0dd5cb30,,"75,311.97593314 Ether",0.06283373%,11
195,0xcffad3200574698b78f32232aa9d63eabd290703,,"75,222.52816316 Ether",0.06275911%,2518
196,0x36b6751586614d647d8a3f495e82bdcf250914c8,,"75,112.26120219 Ether",0.06266711%,62
197,0x3727cfcbd85390bb11b3ff421878123adb866be8,,"71,638.11922915 Ether",0.05976859%,107
198,0x755cdba6ae4f479f7164792b318b2a06c759833b,ExtraBalDaoWithdraw,"71,168.48432078 Ether",0.05937677%,8244
199,0x013d81dcfa99546c14ab3976abbe494b3e07edd8,,"70,352.12 Ether",0.05869566%,2
200,0x6fb8ebc19bc2a9fa4413ba6a0ca6fa99e974b461,,"70,032.18349979 Ether",0.05842874%,56
201,0x807cc0e799dcc651d94595e1f7f6e7373ef8f96a,,"70,032.18349979 Ether",0.05842873%,58
202,0xf196c023de1f19d6529133759f449c4b01ce0f51,,"70,032.18349979 Ether",0.05842873%,55
203,0xe9a5a2acfa9bee149ed28fcbf12b60ff2ad97efb,,"70,032.18349979 Ether",0.05842873%,66
204,0x303c741bb15c9c4b1c72320f6df702b32da80519,,"70,032.18349979 Ether",0.05842873%,71
205,0xe93fc974908003faddf0bd972b05b6494368d3f5,,"70,032.18349979 Ether",0.05842873%,60
206,0x1fe29b608c1cab7b7354fc96c7bbb2a68355ced6,,"70,000.971612 Ether",0.05840269%,6
207,0x6b378be3c9642ccf25b1a27facb8ace24ac34a12,,"70,000 Ether",0.05840188%,10
208,0x062448f804191128d71fc72e10a1d13bd7308e7e,,"69,999.98336715 Ether",0.05840187%,35
209,0xac08f21ef597a51865d69896f09b52472acde80d,,"69,393.36406281 Ether",0.05789576%,64
210,0x1e143b2588705dfea63a17f2032ca123df995ce0,,"67,317.25758198 Ether",0.05616364%,20779
211,0x4920f22b632bfaa40af8d39c31d9607809485952,,"67,312.7120218 Ether",0.05615985%,1
212,0x8156b28ca956c3a8bab86e1d38d8648d58cd23ec,,"66,895.14616226 Ether",0.05581147%,24
213,0xad0d53cf033ab63dc72d653640766ee1d366cef6,,"65,267.19459761 Ether",0.05445324%,70
214,0x282edab8a933bc1c02649fe3ea2842ecbe9928a7,,"65,006.10053515 Ether",0.05423541%,56
215,0xdca6ab9508d28c0eb7b120b8252041edcb56753f,,"65,000 Ether",0.05423032%,6
216,0xa205fd7344656c72fdc645b72faf5a3de0b3e825,,"64,945.62447513 Ether",0.05418495%,3902
217,0x1b7b5b4bed048d86976d7cf51d9c4ea24e20ade7,,"64,628.45223452 Ether",0.05392033%,68
218,0x92f71d08f5ee94a7bf40fab05beda3545b55ad2a,,"64,557.01381512 Ether",0.05386073%,64
219,0x3f4ac8d3e1414b5351e632391908177c012c65cc,,"64,525.41575714 Ether",0.05383437%,67
220,0xa0e239b0abf4582366adaff486ee268c848c4409,,"64,282.19517837 Ether",0.05363145%,37
221,0x831c3720681096f276cb016b51a33433d7cb2faa,,"64,138.68617201 Ether",0.05351172%,61
222,0x7ced76dde9203a554df01cbb1ed0d17e9bce7524,,"64,046.41159488 Ether",0.05343473%,59
223,0x6b2069bde6b87d0f882abbdc6eb4fcbd0a90bb96,,"63,991.09113001 Ether",0.05338858%,71
224,0xb3177d9873b7ac246874114d8760e66dc5e797cc,,"63,886.51007539 Ether",0.05330132%,66
225,0x0a8f6257ef3ed3efdd8dd18dd9294d3e333ad7fc,,"63,824.04711351 Ether",0.05324921%,72
226,0x10cad69cbd241d36ed8c6d83a9f30b380134d1bc,,"63,808.14442007 Ether",0.05323594%,70
227,0x795cbc7a670d06e56cd2197d4ca175e081a416ad,,"63,799.78502026 Ether",0.05322897%,23
228,0x8759b0b1d9cba80e3836228dfb982abaa2c48b97,,"63,734.36885313 Ether",0.05317439%,305
229,0xd548dd6ccc7a563346372fa0d8cef06e1683b0e3,,"63,413.41030219 Ether",0.05290661%,230
230,0x92cf9066c657b1f63a7a2dc37255b31be6ef1858,,"63,413.41030219 Ether",0.05290661%,233
231,0xecef66258cc21cb742ac34c68375b311fd3f34cc,,"63,413.41030219 Ether",0.05290661%,138
232,0xcaaad25746a0e04a3c7eff86422991b00fd3d76a,,"63,413.41030219 Ether",0.05290661%,72
233,0xd65d71e5ecccfcf72b84cad65370626e048d1b33,,"63,413.41030219 Ether",0.05290661%,69
234,0x1f72b240b6fffceba07bdaa097cc7b216a643a0f,,"63,413.41030219 Ether",0.05290661%,74
235,0x4e5fab20b7b83c6f557b20c820883eab0a0b343b,,"63,413.41030219 Ether",0.05290661%,81
236,0x3fd6b1e25200fdda352cbc911ffcd4308895a7d0,,"63,413.41030219 Ether",0.05290661%,78
237,0x54cee0ef273d3d08ed120b0c561c0284a4c4490e,,"63,413.41030219 Ether",0.05290661%,74
238,0xe27f62b70ab44d7fd1842dce66138a31940fa29a,,"63,413.41030219 Ether",0.05290661%,69
239,0x9aabd298b30d034f8c64f86aa25fc74b9f70930f,,"63,413.41030219 Ether",0.05290661%,70
240,0xc4d5b7c576edfbac20fa081cff79ec745193e207,,"63,386.12542782 Ether",0.05288384%,220
241,0x7f3a1e45f67e92c880e573b43379d71ee089db54,,"62,494.64687242 Ether",0.05214007%,178
242,0xd40e8cee01a147f0a24524d725ef1f0297ba6b06,,"62,251.18689326 Ether",0.05193695%,45
243,0xdfb6a4b143f6a1de4725c451c46433801de52bfd,,"62,000.28142684 Ether",0.05172762%,20
244,0x8b505e2871f7deb7a63895208e8227dcaa1bff05,,"61,216.6 Ether",0.05107378%,2
245,0x5a52e96bacdabb82fd05763e25335261b270efcb,,"59,999.21628168 Ether",0.05005810%,302
246,0x7826cb9710dcaa624f04819f5f2b644a5bd6cc06,,"59,755.28090275 Ether",0.04985459%,2
247,0x1342a001544b8b7ae4a5d374e33114c66d78bd5f,Gatecoin Hacker 2,"59,491.41000001 Ether",0.04963443%,39
248,0xd4914762f9bd566bd0882b71af5439c0476d2ff6,Gatecoin Hacker 1,"59,480.51000001 Ether",0.04962534%,40
249,0x5bcd25b6e044b97dfc941b9ec4b617ec10e1abcd,,"59,390.40799044 Ether",0.04955017%,159
250,0xa43d2e05ed00c040c8422a88cb8ede921a539f92,,"59,013.14017755 Ether",0.04923541%,790
