Rank,Address,Name Tag,Balance,Percentage,Txn Count
3163,0x794d28ac31bcb136294761a556b68d2634094153,Huobi 29,"2,464.56147876 Ether",0.00205618%,445114
3171,0xc253cbc67556e797fdb750a031d5e6208c423ad5,Guild of Guardians: Pre Sale,"2,448.18217173 Ether",0.00204251%,15182
3189,0x7891b20c690605f4e370d6944c8a5dbfac5a451c,LAToken 2,"2,422.894441 Ether",0.00202141%,4428
3226,0x849d52316331967b6ff1198e5e32a0eb168d039d,Gnosis: Active Treasury Management,"2,385.85603619 Ether",0.00199051%,929
3365,0x68c4b7d05fae45bcb6192bb93e246c77e98360e1,Metronome: Proceeds,"2,236.16857305 Ether",0.00186563%,37
3369,0x5b310960a7922092fdcb9295ece336012f9cf87e,BTC.com Pool 2,"2,231.73895018 Ether",0.00186193%,17466
3440,0xbee9cf658702527b0acb2719c1faa29edc006a92,Strike ETH: sETH Token,"2,160.36804052 Ether",0.00180239%,1028
3465,0x6ca33486eed915816560630b883a047c4e2b92df,Fake: Metadium Presale,"2,138.86905166 Ether",0.00178445%,156
3513,0x500a746c9a44f68fe6aa86a92e7b3af4f322ae66,Voyager 1,"2,091.32856024 Ether",0.00174479%,117784
3616,0xf7d58e6720696b8f46dc9270443d8beaeb8d9775,LinkerCoin: Wallet,"2,011.79492913 Ether",0.00167844%,3119
3916,0xd52306eabc2be4e2dc8fbd1f929ac73008430f3f,LUKSO: MultiSig,"1,970.84927124 Ether",0.00164427%,44
4014,0xa96a65c051bf88b4095ee1f2451c2a9d43f53ae2,Curve.fi: aETHc Pool,"1,913.17552119 Ether",0.00159616%,2705
4084,0x5d22045daceab03b158031ecb7d9d06fad24609b,DeversiFi: Bridge,"1,871.2854487 Ether",0.00156121%,14878
4100,0xa12431d0b9db640034b0cdfceef9cce161e62be4,HitBTC 3,"1,862.61666914 Ether",0.00155398%,1225987
4119,0xa40dfee99e1c85dc97fdc594b16a460717838703,Kraken: Eth2 Depositor,"1,847.55925925 Ether",0.00154141%,12196
4165,0x0f564a2a5fde73349890e86e9b2aa1639994bf2f,Storj: MultiSig 1,"1,818.9 Ether",0.00151750%,217
4213,0x477b8d5ef7c2c42db84deb555419cd817c336b6f,MaiCoin 1,"1,791.40327812 Ether",0.00149456%,589403
4233,0x33ddd548fe3a082d753e5fe721a26e1ab43e3598,Coinex 2,"1,778.1052341 Ether",0.00148347%,152933
4291,0x4e80744fa23cec76e1621ce0dfaceb4b1d532e12,Duelbits,"1,749.34636486 Ether",0.00145948%,114258
4325,0xcd458d7f11023556cc9058f729831a038cb8df9c,Poolin 4,"1,719.9307566 Ether",0.00143493%,38
4338,0xde21f729137c5af1b01d73af1dc21effa2b8a0d6,Gitcoin: MultiSig,"1,709.76554838 Ether",0.00142645%,313
4364,0x6d5a7597896a703fe8c85775b23395a48f971305,Cream.Finance: MultiSig,"1,698.25681488 Ether",0.00141685%,719
4504,0x2cf6be9aac1c7630d5a23af88c28275c70eb8819,Bulls & Apes: BAPBULL Token,"1,601.19464847 Ether",0.00133587%,8834
4549,0xff1f2b4adb9df6fc8eafecdcbf96a2b351680455,Aztec: Connect,"1,582.95507869 Ether",0.00132066%,32117
4570,0x6162759edad730152f0df8115c698a42e666157f,FeiProtocol-Fuse Exploiter,"1,570.06784214 Ether",0.00130990%,324
4574,0x2a20380dca5bc24d052acfbf79ba23e988ad0050,Poolin 3,"1,568.84359886 Ether",0.00130888%,61
4859,0xb1748c79709f4ba2dd82834b8c82d4a505003f27,Frax Finance: Comptroller,"1,452.64923594 Ether",0.00121194%,1986
4929,0xd911560979b78821d7b045c79e36e9cbfc2f6c6f,MEV Bot: 0xD91...C6F,"1,419.35585218 Ether",0.00118416%,39937
4949,0x28ffe35688ffffd0659aee2e34778b0ae4e193ad,Huobi 33,"1,409.92314062 Ether",0.00117630%,466797
5096,0xc9f5296eb3ac266c94568d790b6e91eba7d76a11,CEX.IO,"1,353.90731778 Ether",0.00112956%,471104
5111,0x95e525f434315eab8268fdc0cfd0555eb87a48cc,Fake_Phishing4287,"1,348.60778875 Ether",0.00112514%,13
5129,0x9cbadd5ce7e14742f70414a6dcbd4e7bb8712719,Indodax 2,"1,340.3235188 Ether",0.00111823%,3005
5229,0x3018c81dcb9caa2554d226d5a1a929dd319f085d,Fake_Phishing4582,"1,300 Ether",0.00108459%,6
5379,0x8b4334d4812c530574bd4f2763fcd22de94a969b,Tokemak: Treasury Address,"1,237.95064 Ether",0.00103282%,417
