Rank,Address,Name Tag,Balance,Percentage,Txn Count
174,0x46fde20dfde85c8c169e8823b6f615146674103e,,"80,000.13895 Ether",0.06674392%,4
175,0x7d783603bd1caed3cdb8e734a50fb35df1f1da7a,,"80,000.13895 Ether",0.06674392%,4
176,0x58c1655ee5c109bf69715411dc32338e40a54c46,,"80,000.12895 Ether",0.06674391%,4
177,0x385dc986ac6dfaefe851ac95d3650e0baafef3ac,,"80,000.12895 Ether",0.06674391%,4
178,0x67586e3526bbe9f3e19d76bb41f1de0a774b50b4,,"80,000.12895 Ether",0.06674391%,4
179,0xc39cc669a548c661dfa6b5a1eeaa389d1ec53143,,"80,000.0003811 Ether",0.06674380%,8
180,0x918fa381cb534677bad24afb29cb3c2acaf16385,,"79,340.38161726 Ether",0.06619349%,2
181,0xd2b0b1daed605718080f861034d3241f1cfd89cb,,"79,122.43020715 Ether",0.06601165%,1
182,0x382b1bf6229d36d8f24d6c7ead909f50b7c8d48d,,"78,967.57787165 Ether",0.06588246%,31
183,0xfdfeb7474b6b104f32599948bb7f8ed81b06def3,,"77,735.85085577 Ether",0.06485483%,2
184,0xcfee6efec3471874022e205f4894733c42cbbf64,,"77,500 Ether",0.06465806%,10
185,0xa463597d49f54fe6a811fb894cbd67c7f92852b0,,"76,779.44256847 Ether",0.06405690%,63
186,0xfcd159d0fef5b1003e10d91a5b79d52bbb8cd05d,,"76,779.44256847 Ether",0.06405690%,65
187,0x6e414cfad874d8ee716ea0299d40011207c907b8,,"76,779.44256847 Ether",0.06405690%,72
188,0x19bf56fca395a600c20f732b05757f30ad24a719,,"76,779.44256847 Ether",0.06405690%,67
189,0x04b7f4195595d8132dd8249cc8dc7e79a6ae772b,,"76,779.44256847 Ether",0.06405690%,62
190,0xff2ac8c5834a7585fcc97edb8ba2431c4beab487,,"76,779.44256847 Ether",0.06405690%,59
191,0x4ed97d6470f5121a8e02498ea37a50987da0eec0,,"76,779.44256847 Ether",0.06405690%,97
192,0xca0a044400c1fa857e4cd0c95d86376b85659303,,"76,630.72347572 Ether",0.06393282%,1977
193,0x2268f45acb887e0a4e9c8714798fa7892629e91f,,"75,759.83100133 Ether",0.06320624%,7
194,0x8033539e873b3f0deaba706dd6d3480e0dd5cb30,,"75,311.97593314 Ether",0.06283260%,11
195,0xcffad3200574698b78f32232aa9d63eabd290703,,"75,222.52781884 Ether",0.06275797%,2519
196,0x36b6751586614d647d8a3f495e82bdcf250914c8,,"75,112.26120219 Ether",0.06266597%,62
197,0x3727cfcbd85390bb11b3ff421878123adb866be8,,"71,670.47085826 Ether",0.05979450%,107
199,0x013d81dcfa99546c14ab3976abbe494b3e07edd8,,"70,352.12 Ether",0.05869460%,2
200,0x6fb8ebc19bc2a9fa4413ba6a0ca6fa99e974b461,,"70,032.18349979 Ether",0.05842768%,56
201,0x807cc0e799dcc651d94595e1f7f6e7373ef8f96a,,"70,032.18349979 Ether",0.05842768%,58
202,0xf196c023de1f19d6529133759f449c4b01ce0f51,,"70,032.18349979 Ether",0.05842768%,55
203,0xe9a5a2acfa9bee149ed28fcbf12b60ff2ad97efb,,"70,032.18349979 Ether",0.05842768%,66
204,0x303c741bb15c9c4b1c72320f6df702b32da80519,,"70,032.18349979 Ether",0.05842768%,71
205,0xe93fc974908003faddf0bd972b05b6494368d3f5,,"70,032.18349979 Ether",0.05842768%,60
206,0x1fe29b608c1cab7b7354fc96c7bbb2a68355ced6,,"70,000.971612 Ether",0.05840164%,6
207,0x6b378be3c9642ccf25b1a27facb8ace24ac34a12,,"70,000 Ether",0.05840083%,10
208,0x062448f804191128d71fc72e10a1d13bd7308e7e,,"69,999.98336715 Ether",0.05840081%,35
209,0xac08f21ef597a51865d69896f09b52472acde80d,,"69,393.36406281 Ether",0.05789471%,64
210,0x1e143b2588705dfea63a17f2032ca123df995ce0,,"67,317.25758198 Ether",0.05616262%,20779
211,0x4920f22b632bfaa40af8d39c31d9607809485952,,"67,312.7120218 Ether",0.05615883%,1
212,0x8156b28ca956c3a8bab86e1d38d8648d58cd23ec,,"66,895.14616226 Ether",0.05581046%,24
213,0xad0d53cf033ab63dc72d653640766ee1d366cef6,,"65,267.19459761 Ether",0.05445226%,70
214,0x282edab8a933bc1c02649fe3ea2842ecbe9928a7,,"65,006.10053515 Ether",0.05423443%,56
215,0xdca6ab9508d28c0eb7b120b8252041edcb56753f,,"65,000 Ether",0.05422934%,6
216,0xa205fd7344656c72fdc645b72faf5a3de0b3e825,,"64,945.62447513 Ether",0.05418397%,3902
217,0x1b7b5b4bed048d86976d7cf51d9c4ea24e20ade7,,"64,628.45223452 Ether",0.05391936%,68
218,0x92f71d08f5ee94a7bf40fab05beda3545b55ad2a,,"64,557.01381512 Ether",0.05385976%,64
219,0x3f4ac8d3e1414b5351e632391908177c012c65cc,,"64,525.41575714 Ether",0.05383340%,67
220,0xa0e239b0abf4582366adaff486ee268c848c4409,,"64,282.19517837 Ether",0.05363048%,37
221,0x831c3720681096f276cb016b51a33433d7cb2faa,,"64,138.68617201 Ether",0.05351075%,61
222,0x7ced76dde9203a554df01cbb1ed0d17e9bce7524,,"64,046.41159488 Ether",0.05343376%,59
223,0x6b2069bde6b87d0f882abbdc6eb4fcbd0a90bb96,,"63,991.09113001 Ether",0.05338761%,71
224,0xb3177d9873b7ac246874114d8760e66dc5e797cc,,"63,886.51007539 Ether",0.05330036%,66
225,0x0a8f6257ef3ed3efdd8dd18dd9294d3e333ad7fc,,"63,824.04711351 Ether",0.05324825%,72
